City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
489,Nyimba,ZM,71.6,light rain,-14.56,30.81,Dali Dali Lodge
490,Natal,BR,80.6,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
492,Samfya,ZM,74.66,broken clouds,-11.36,29.56,Chita Lodge Samfya
494,Dingle,PH,78.31,light rain,11.0,122.67,Camp Pasica
496,Namibe,AO,72.52,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
498,Alice Springs,AU,75.2,clear sky,-23.7,133.88,Desert Palms Alice Springs
502,Coruripe,BR,78.39,scattered clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
504,Touba,CI,73.87,few clouds,8.28,-7.68,Hotel de L'Amitié Vraie
507,Bilma,NE,70.45,clear sky,18.69,12.92,Expeditions Ténére voyages
509,Broken Hill,AU,71.6,clear sky,-31.95,141.43,Daydream Motel & Cottages
511,Los Llanos De Aridane,ES,77.0,clear sky,28.66,-17.92,Valle Aridane
513,Kouroussa,GN,75.18,few clouds,10.65,-9.88,Hotel Tando Plus
516,Alta Floresta,BR,72.54,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
518,Champerico,GT,87.8,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
522,Portmore,JM,79.0,shower rain,17.97,-76.87,Salmon Way Inn
523,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
524,Lungi,SL,76.19,few clouds,9.22,-12.68,Lungi Airport Lodge
526,Chico,US,84.0,clear sky,39.73,-121.84,Quality Inn Near Chico State
531,Ghanzi,BW,71.83,broken clouds,-21.57,21.78,Ghanzi Farmhouse
535,Damietta,EG,73.4,few clouds,31.42,31.81,العواد لتجارة الابلكاش
545,Mitsamiouli,KM,76.96,overcast clouds,-11.38,43.28,Foyer ADM
549,Mekhe,SN,78.8,clear sky,15.11,-16.62,Hôtel Keur Mame Astou
551,Itoman,JP,71.6,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
554,Puerto Madero,MX,87.8,shower rain,14.72,-92.42,Hotel La Central
556,Lorengau,PG,85.93,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
561,Tete,MZ,82.0,few clouds,-16.16,33.59,Zambeze Paraíso Misterioso
568,Salima,MW,75.56,scattered clouds,-13.78,34.46,YAMIKANI LODGE
571,Moyobamba,PE,70.27,light rain,-6.05,-76.97,LA CASA DE MI SUEÑO - Garden Home Lodge
572,Takoradi,GH,78.49,overcast clouds,4.88,-1.76,Raybow International Hotel
573,Zamora,EC,84.2,clear sky,-4.07,-78.96,Cabañas Ecológica Copalinga
574,George Town,MY,78.8,thunderstorm,5.41,100.34,Cititel Penang
576,Galesong,ID,81.12,broken clouds,-5.32,119.37,Sapriadi Appy
577,Banjar,ID,79.84,broken clouds,-8.19,114.97,The Hamsa Resort
581,Noumea,NC,86.0,few clouds,-22.28,166.46,Hôtel Le Lagon
582,Oistins,BB,82.4,shower rain,13.07,-59.53,Butterfly Beach Hotel
583,Cayenne,GF,80.6,moderate rain,4.93,-52.33,Hôtel Le Dronmi
588,Naze,JP,73.4,scattered clouds,28.37,129.48,奄美ポートタワーホテル
591,Srandakan,ID,76.87,broken clouds,-7.94,110.25,Puri Brata
593,Quang Ngai,VN,72.05,light rain,15.12,108.8,Central Hotel
594,San Andres,CO,82.4,overcast clouds,12.58,-81.7,Hotel Arena Blanca
595,Kutum,SD,73.35,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
596,Port-Gentil,GA,78.8,thunderstorm,-0.72,8.78,Fengshui Residence
597,Monte Plata,DO,84.2,scattered clouds,18.81,-69.78,Hotel Principe Del Desvio
600,Socorro,US,71.6,few clouds,31.65,-106.3,guarderia imss papalote
602,Biltine,TD,81.9,scattered clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
605,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
609,Extremoz,BR,80.6,scattered clouds,-5.71,-35.31,Casa do Mochileiro Airport Hostel
610,Palu,ID,78.06,light rain,-0.89,119.87,Hotel Santika Palu
613,Samarai,PG,82.78,light rain,-10.62,150.67,Nuli Sapi
614,Wamba,NG,74.14,scattered clouds,8.93,8.6,Roma Zee Guest House Annex
616,Moranbah,AU,82.92,clear sky,-22.0,148.05,Direct Hotels - Monterey Moranbah
619,Monrovia,LR,79.07,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
621,Gunjur,GM,78.8,clear sky,13.2,-16.73,Kuba Lodge
622,Botro,CI,77.0,few clouds,7.85,-5.31,Motel de la Station BOTRO
625,Yarada,IN,78.8,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
626,Bandarbeyla,SO,76.48,clear sky,9.49,50.81,REER XOOSHLE GROUP
634,Camapua,BR,73.63,clear sky,-19.53,-54.04,Comercial Estrela
636,Saint-Georges,GD,77.0,light rain,12.06,-61.75,Siesta Hotel
642,Wanning,CN,70.65,overcast clouds,18.8,110.4,Paradise Hotel
646,Yenagoa,NG,76.06,overcast clouds,4.92,6.26,Amba Hotels Limited
650,Puerto Carreno,CO,75.25,overcast clouds,6.19,-67.49,Casa Hotel Victoria
654,Bowen,AU,80.6,scattered clouds,-20.02,148.23,Castle Motor Lodge Motel
655,Ambilobe,MG,72.97,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
656,Kununurra,AU,80.6,overcast clouds,-15.77,128.73,Hotel Kununurra
660,Mozarlandia,BR,77.68,scattered clouds,-14.74,-50.57,Hotel Santa Mônica
663,Mulege,MX,83.62,clear sky,26.88,-111.98,Casa Granada
665,Pringsewu,ID,73.8,broken clouds,-5.36,104.97,Urban Style by Front One
668,Bajil,YE,80.31,clear sky,15.06,43.29,فندق الصقر السياحي
